van_ban,phu_luc,nhom,muc_cha,stt,ma_hs,mo_ta
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,34,5309,Vải dệt thoi từ sợi lanh.
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,35,5310,Vải dệt thoi từ sợi đay hoặc từ các loại xơ libe dệt khác thuộc nhóm 53.03
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,36,5311,Vải dệt thoi từ các loại sợi dệt gốc thực vật khác; vải dệt thoi từ sợi giấy
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,37,5407,"Vải dệt thoi bằng sợi filament tổng hợp, kể cả vải dệt thoi thu được từ các nguyên liệu thuộc nhóm 54.04"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,38,5408,"Vải dệt thoi bằng sợi filament tái tạo, kể cả vải dệt thoi thu được từ các nguyên liệu thuộc nhóm 54.05"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,39,5512,"Các loại vải dệt thoi từ xơ staple tổng hợp, có hàm lượng loại xơ này chiếm từ 85% trở lên tính theo khối lượng"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,40,5513,"Vải dệt thoi bằng xơ staple tổng hợp, có hàm lượng loại xơ này chiếm dưới 85% tính theo khối lượng, pha chủ yếu hoặc pha duy nhất với bông, định lượng không quá 170 g/m 2"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,41,5514,"Vải dệt thoi bằng xơ staple tổng hợp, có hàm lượng loại xơ này chiếm dưới 85% tính theo khối lượng, pha chủ yếu hoặc pha duy nhất với bông, định lượng trên 170 g/m 2"
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,42,5515,Các loại vải dệt thoi khác từ xơ staple tổng hợp
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,43,5516,Vải dệt thoi từ xơ staple tái tạo
TT 41/2026/TT-BCT,Phụ lục II - Hàng hóa đã qua sử dụng tạm ngừng KD,,,44,Chương 57,Toàn bộ Chương 57
